region,code,name,zsc,area,length,lon,lat
Piemonte,IT1120007,Palude di S. Genuario,sì,426,0,8.1830,45.2230
Piemonte,IT1120008,Fontana Gigante (Tricerro),sì,311,0,8.2866,45.2338
Piemonte,IT1120010,Lame del Sesia e Isolone di Oldenico,sì,934,0,8.3975,45.4192
Piemonte,IT1120013,Isolotto del Ritano (Dora Baltea),sì,253,0,8.0011,45.2314
Piemonte,IT1120014,Garzaia del Rio Druma,sì,128,0,8.3120,45.4539
Piemonte,IT1120016,Laghetto di Sant'Agostino,sì,21,0,8.2820,45.7850
Piemonte,IT1120023,Isola di Santa Maria,sì,721,0,8.1400,45.1740
Piemonte,IT1120026,Stazioni di Isoetes malinverniana,,2043,0,8.3860,45.5190
Piemonte,IT1120028,Alta Val Sesia,sì,7545,0,7.8989,45.8964
Piemonte,IT1120030,Sponde fluviali di Palazzolo vercellese,,243,0,8.2367,45.1697
Piemonte,IT1130001,La Bessa,sì,734,0,8.0350,45.4860
Piemonte,IT1130002,Val Sessera,sì,10787,0,8.0378,45.6969
Piemonte,IT1130003,Baraggia di Candelo,sì,604,0,8.1590,45.5310
Piemonte,IT1130004,Lago di Bertignano (Viverone) e stagno presso la strada per Roppolo,sì,26,0,8.0654,45.4293
Piemonte,IT1140001,Fondo Toce,sì,361,0,8.4784,45.9389
Piemonte,IT1140003,Campello Monti,sì,548,0,8.2211,45.9389
Piemonte,IT1140004,Alta Val Formazza,sì,5744,0,8.4364,46.4036
Piemonte,IT1140006,Greto Torrente Toce tra Domodossola e Villadossola,sì,746,0,8.2792,46.0583
Piemonte,IT1140007,Boleto - M.te Avigno,sì,390,0,8.3531,45.7839
Piemonte,IT1140011,Val Grande,sì,11855,0,8.4575,46.0408
Piemonte,IT1140016,Alpi Veglia e Devero - Monte Giove,sì,15119,0,8.2525,46.3111
Piemonte,IT1150001,Valle del Ticino,sì,6597,0,8.7281,45.4990
Piemonte,IT1150002,Lagoni di Mercurago,sì,472,0,8.5520,45.7310
Piemonte,IT1150003,Palude di Casalbeltrame,sì,651,0,8.5018,45.4275
Piemonte,IT1150004,Canneti di Dormelletto,sì,153,0,8.5797,45.4270
Piemonte,IT1150005,Agogna Morta (Borgolavezzaro),sì,13,0,8.6610,45.3040
Piemonte,IT1150007,Baraggia di Piano Rosa,sì,1194,0,8.4371,45.6197
Piemonte,IT1150008,Baraggia di Bellinzago,sì,119,0,8.6060,45.5650
Piemonte,IT1160003,Oasi di Crava Morozzo,sì,299,0,7.7322,44.4214
Piemonte,IT1160007,Sorgenti del Belbo,sì,474,0,8.1397,44.3892
Piemonte,IT1160009,Confluenza Po - Bronda,sì,136,0,7.4550,44.6831
Piemonte,IT1160010,Bosco del Merlino,sì,354,0,7.7160,44.7974
Piemonte,IT1160011,Parco di Racconigi e Boschi lungo il Torrente Maira,sì,326,0,7.6630,44.7800
Piemonte,IT1160012,Boschi e Rocche del Roero,sì,1704,0,7.8856,44.7342
Piemonte,IT1160013,Confluenza Po - Varaita,sì,171,0,7.5970,44.8200
Piemonte,IT1160016,Stazione di muschi calcarizzanti - C.ba Seviana e C.ba Barmarossa,sì,1.61,0,7.2980,44.4190
Piemonte,IT1160017,Stazione di Linum narbonense,sì,8.28,0,7.2800,44.4210
Piemonte,IT1160018,"Sorgenti del Maira, Bosco di Saretto, Rocca Provenzale",sì,727,0,6.9158,44.4964
Piemonte,IT1160020,Bosco di Bagnasco,sì,381,0,8.0772,44.2764
Piemonte,IT1160021,Gruppo del Tenibres,sì,5450,0,7.0228,44.3042
Piemonte,IT1160023,Vallone di Orgials - Colle della Lombarda,sì,530,0,7.1419,44.2186
Piemonte,IT1160024,"Colle e Lago della Maddalena, Val Puriac",sì,1834,0,6.9122,44.3936
Piemonte,IT1160026,"Faggete di Pamparato, Tana del Forno, Grotta delle Turbiglie e Grotte di Bos",sì,2940,0,7.8703,44.2653
Piemonte,IT1160029,Colonie di chirotteri di S. Vittoria e Monticello d'Alba,sì,17,0,7.9460,44.7000
Piemonte,IT1160035,M. Antoroto,sì,863,0,7.9167,44.1883
Piemonte,IT1160036,Stura di Demonte,sì,1174,0,7.3590,44.3060
Piemonte,IT1160037,Grotta di Rio Martino,sì,0.3,2,7.1463,44.6982
Piemonte,IT1160040,Stazioni di Euphorbia valliniana,sì,207,0,7.1761,44.5186
Piemonte,IT1160041,Boschi e colonie di chirotteri di Staffarda,,666,0,7.4380,44.7180
Piemonte,IT1160056,Alpi Marittime,sì,33672,0,7.3628,44.2014
Piemonte,IT1160057,Alte Valli Pesio e Tanaro,sì,11278,0,7.6983,44.1756
Piemonte,IT1160058,Gruppo del Monviso e Bosco dell'Alevè,sì,7232,0,7.0967,44.6456
Piemonte,IT1160065,Comba di Castelmagno,,622,0,7.2450,44.4200
Piemonte,IT1160067,Vallone dell'Arma,,796,0,7.2860,44.3300
Piemonte,IT1160071,Greto e risorgive del torrente Stura,,559,0,7.6980,44.4970
Piemonte,IT1170001,Rocchetta Tanaro,sì,126,0,8.3190,44.8580
Piemonte,IT1170002,Valmanera,sì,2190,0,8.1720,44.9520
Piemonte,IT1170003,Stagni di Belangero (Asti),sì,591,0,8.1950,44.8630
Piemonte,IT1170005,Verneto di Rocchetta Tanaro,sì,10,0,8.3553,44.8504
Piemonte,IT1180002,Torrente Orba,sì,506,0,8.6550,44.7790
Piemonte,IT1180004,Greto dello Scrivia,sì,2241,0,8.8472,44.8064
Piemonte,IT1180005,Ghiaia Grande (Fiume Po),sì,462,0,8.3180,45.1520
Piemonte,IT1180009,Strette della Val Borbera,sì,1665,0,9.0180,44.7280
Piemonte,IT1180010,Langhe di Spigno Monferrato,sì,2512,0,8.2938,44.5088
Piemonte,IT1180011,Massiccio dell'Antola - Monte Carmo - Monte Legna,sì,5993,0,9.1572,44.5933
Piemonte,IT1180017,Bacino del Rio Miseria,sì,2094,0,8.5078,44.5111
Piemonte,IT1180026,Capanne di Marcarolo,sì,9549,0,8.7889,44.5653
Piemonte,IT1180027,Confluenza Po - Sesia - Tanaro,sì,4061,0,8.6069,45.0900
Piemonte,IT1180030,"Calanchi di Rigoroso, Sottovalle e Carrosio",,547,0,8.8660,44.6570
Piemonte,IT1180031,Basso Scrivia,,921,9,8.8687,44.9618
Piemonte,IT1180032,Bric Montariolo,,545,5.8,8.6748,44.9817
Valle d'Aosta,IT1201000,Parco Nazionale del Gran Paradiso,,71042,0,7.3017,45.5189
Valle d'Aosta,IT1201010,Ambienti calcarei d'alta quota della Valle di Rhêmes,sì,1593,0,7.0744,45.5094
Valle d'Aosta,IT1202000,Parco naturale Mont Avic,sì,5750,0,7.5711,45.6461
Valle d'Aosta,IT1203010,Zona umida di Morgex,sì,30,0,7.0550,45.7514
Valle d'Aosta,IT1203020,Lago di Lolair,sì,28,0,7.1361,45.6947
Valle d'Aosta,IT1203030,Formazioni Steppiche della Cote de Gargantua,sì,19,0,7.2942,45.7178
Valle d'Aosta,IT1203040,Stagno di Loson,sì,4.55,0,7.5547,45.7806
Valle d'Aosta,IT1203050,Lago di Villa,sì,27,0,7.6914,45.6867
Valle d'Aosta,IT1203060,Stagno di Holay,sì,3,0,7.8095,45.5974
Valle d'Aosta,IT1203070,Mont Mars,sì,380,0,7.9242,45.6472
Valle d'Aosta,IT1204010,Ambienti Glaciali del Monte Bianco,sì,12557,0,6.8661,45.8336
Valle d'Aosta,IT1204032,Talweg della Val Ferret,sì,120,0,7.0181,45.8477
Valle d'Aosta,IT1204220,Ambienti glaciali del Gruppo del Monte Rosa,sì,8645,0,7.7928,45.9011
Valle d'Aosta,IT1205000,Ambienti d'alta quota delle Combe Thuilette e Sozin,sì,356,0,6.9550,45.6761
Valle d'Aosta,IT1205010,Ambienti d'alta quota della Valgrisenche,sì,336,0,7.0139,45.5414
Valle d'Aosta,IT1205020,Ambienti d'alta quota del Colle del Gran San Bernardo,sì,750,0,7.1469,45.8667
Valle d'Aosta,IT1205030,Pont D'ael,sì,183,0,7.2211,45.6817
Valle d'Aosta,IT1205034,Castello e miniere abbandonate di Aymavilles,sì,1.59,0,7.2482,45.7024
Valle d'Aosta,IT1205050,Ambienti Xerici del Mont Torretta - Bellon,sì,49,0,7.2384,45.7200
Valle d'Aosta,IT1205061,Stazione di Astragalus alopecurus di Cogne,sì,36,0,7.3118,45.6370
Valle d'Aosta,IT1205064,Vallone del Grauson,sì,489,0,7.3844,45.6389
Valle d'Aosta,IT1205065,Vallone dell'Urtier,sì,1506,0,7.4416,45.6055
Valle d'Aosta,IT1205070,Zona Umida di Les Iles di Saint - Marcel,sì,35,0,7.4331,45.7372
Valle d'Aosta,IT1205081,Ambienti calcarei d'alta quota attorno al Lago Tsan,sì,453,0,7.5382,45.8559
Valle d'Aosta,IT1205082,Stagno di Lo Ditor,sì,22,0,7.5647,45.8483
Valle d'Aosta,IT1205090,Ambienti xerici di Grand Brison - Cly,sì,97,0,7.5825,45.7533
Valle d'Aosta,IT1205100,Ambienti d'alta quota della Vallée de l'Alleigne,sì,1103,0,7.6028,45.5881
Valle d'Aosta,IT1205110,Stazione di Paeonia officinalis,sì,33,0,7.7833,45.6322
Liguria,IT1313712,Cima di Piano Cavallo - Bric Cornia,sì,4486,0,7.7936,44.1131
Liguria,IT1314609,Monte Monega - Monte Prearba,sì,3670,0,7.8131,44.0292
Liguria,IT1314610,Monte Saccarello - Monte Fronté,sì,3927,0,7.7483,44.0558
Liguria,IT1314611,Monte Gerbonte,sì,2261,0,7.6939,44.0111
Liguria,IT1314723,Campasso - Grotta Sgarbu Du Ventu,sì,105,0,7.9347,44.0044
Liguria,IT1315313,Gouta - Testa d'Alpe - Valle Barbaira,sì,1512,0,7.5856,43.9300
Liguria,IT1315407,Monte Ceppo,sì,3055,0,7.7622,43.9381
Liguria,IT1315408,Lecceta di Langan,sì,238,0,7.7142,43.9536
Liguria,IT1315421,Monte Toraggio - Monte Pietravecchia,sì,2648,0,7.6678,43.9669
Liguria,IT1315503,Monte Carpasina,sì,1353,0,7.8536,43.9689
Liguria,IT1315504,Bosco di Rezzo,sì,1083,0,7.8411,44.0031
Liguria,IT1315602,Pizzo d'Evigno,sì,2198,0,8.0417,43.9742
Liguria,IT1315670,Fondali Capo Berta - Diano Marina - Capo Mimosa,sì,1518,0,8.0925,43.9053
Liguria,IT1315714,Monte Abellio,sì,744,0,7.5733,43.8911
Liguria,IT1315715,Castel d'Appio,sì,9.3,0,7.5739,43.8025
Liguria,IT1315716,Roverino,sì,336,0,7.6097,43.8058
Liguria,IT1315717,Monte Grammondo - Torrente Bevera,sì,2642,0,7.5278,43.8322
Liguria,IT1315719,Torrente Nervia,sì,44,0,7.6258,43.8025
Liguria,IT1315720,Fiume Roia,sì,120,0,7.5911,43.8161
Liguria,IT1315805,Bassa Valle Armea,sì,789,0,7.8083,43.8714
Liguria,IT1315806,Monte Nero - Monte Bignone,sì,3388,0,7.7258,43.8419
Liguria,IT1315922,Pompeiana,sì,184,0,7.8942,43.8647
Liguria,IT1315971,Fondali Porto Maurizio - San Lorenzo al Mare - Torre dei Marmi,sì,1202,0,7.9817,43.8525
Liguria,IT1315972,Fondali Riva Ligure - Cipressa,sì,473,0,7.9044,43.8244
Liguria,IT1315973,Fondali Arma di Taggia - Punta San Martino,sì,450,0,7.8050,43.8178
Liguria,IT1316001,Capo Berta,sì,38,0,8.0750,43.8950
Liguria,IT1316118,Capo Mortola,sì,50,0,7.5511,43.7836
Liguria,IT1316175,Fondali Capo Mortola - San Gaetano,sì,339,0,7.5617,43.7814
Liguria,IT1316274,Fondali San Remo - Arziglia,sì,564,0,7.7308,43.7919
Liguria,IT1320425,Piana Crixia,sì,801,0,8.2667,44.5083
Liguria,IT1321205,Rocchetta Cairo,sì,156,0,8.2917,44.4333
Liguria,IT1321313,Foresta della Deiva - Torrente Erro,sì,886,0,8.4667,44.4750
Liguria,IT1322122,Croce della Tia - Rio Barchei,sì,660,0,8.1456,44.3328
Liguria,IT1322216,Ronco di Maglio,sì,1449,0,8.2497,44.3108
Liguria,IT1322217,Bric Tana - Bric Mongarda,sì,168,0,8.2158,44.3503
Liguria,IT1322219,Tenuta Quassolo,sì,35,0,8.2744,44.3686
Liguria,IT1322223,Cave Ferecchi,sì,37,0,8.2089,44.3756
Liguria,IT1322304,Rocca dell'Adelasia,sì,2190,0,8.3644,44.3903
Liguria,IT1322326,Foresta Cadibona,sì,452,0,8.3797,44.3578
Liguria,IT1322470,Fondali Varazze - Albisola,sì,91,0,8.5340,44.3270
Liguria,IT1323014,Monte Spinarda - Rio Nero,sì,943,0,8.0886,44.2167
Liguria,IT1323021,Bric Zerbi,sì,711,0,8.1069,44.2783
Liguria,IT1323112,Monte Carmo - Monte Settepani,sì,7575,0,8.1833,44.2178
Liguria,IT1323115,Lago di Osiglia,sì,409,0,8.1961,44.3006
Liguria,IT1323201,Finalese - Capo Noli,sì,2782,0,8.3836,44.1981
Liguria,IT1323202,Isola Bergeggi - Punta Predani,sì,9.7,0,8.4444,44.2419
Liguria,IT1323203,Rocca dei Corvi - Mao - Mortou,sì,1613,0,8.3544,44.2550
Liguria,IT1323271,Fondali Noli - Bergeggi,sì,380,0,8.4294,44.2286
Liguria,IT1323920,Monte Galero,sì,3194,0,8.0450,44.1311
Liguria,IT1324007,Monte Ciazze Secche,sì,302,0,8.2483,44.1533
Liguria,IT1324011,Monte Ravinet - Rocca Barbena,sì,2576,0,8.1808,44.1453
Liguria,IT1324172,Fondali Finale Ligure,sì,48,0,8.3770,44.1740
Liguria,IT1324818,Castell'Ermo - Peso Grande,sì,1964,0,8.0447,44.0972
Liguria,IT1324896,Lerrone - Valloni,sì,21,0,8.0992,44.0319
Liguria,IT1324908,Isola Gallinara,sì,10,0,8.2261,44.0256
Liguria,IT1324909,Torrente Arroscia e Centa,sì,189,0,8.1711,44.0528
Liguria,IT1324910,Monte Acuto - Poggio Grande - Rio Torsero,sì,2420,0,8.1797,44.1019
Liguria,IT1324973,Fondali Loano - Albenga,sì,541,0,8.2381,44.0883
Liguria,IT1324974,Fondali Santa Croce - Gallinara - Capo Lena,sì,213,0,8.2003,44.0258
Liguria,IT1325624,Capo Mele,sì,104,0,8.1689,43.9589
Liguria,IT1325675,Fondali Capo Mele - Alassio,sì,206,0,8.1636,43.9786
Liguria,IT1330213,Conglomerato di Vobbia,sì,2976,0,9.0000,44.6000
Liguria,IT1330223,Rio di Vallenzona,sì,118,0,9.0944,44.6139
Liguria,IT1330620,Pian della Badia (Tiglieto),sì,249,0,8.6000,44.5333
Liguria,IT1330893,Rio Ciaè,sì,1104,0,8.9625,44.5136
Liguria,IT1330905,Parco dell'Antola,sì,2653,0,9.1969,44.5875
Liguria,IT1330925,Rio Pentemina,sì,294,0,9.1020,44.5340
Liguria,IT1331012,Lago Marcotto - Roccabruna - Gifarco - Lago della Nave,sì,2159,0,9.3333,44.5333
Liguria,IT1331019,Lago Brugneto,sì,767,0,9.2000,44.5333
Liguria,IT1331104,Parco dell'Aveto,sì,6903,0,9.4333,44.4833
Liguria,IT1331402,Beigua - Monte Dente - Gargassa - Pavaglione,sì,16922,0,8.5839,44.4544
Liguria,IT1331501,Praglia - Pracaban - Monte Leco - Punta Martin,sì,6958,0,8.8250,44.5031
Liguria,IT1331606,Torre Quezzi,sì,8.9,0,8.9714,44.4289
Liguria,IT1331615,Monte Gazzo,sì,443,0,8.8436,44.4475
Liguria,IT1331718,Monte Fasce,sì,1165,0,9.0453,44.4061
Liguria,IT1331721,Val Noci - Torrente Geirato - Alpesisa,sì,637,0,9.0406,44.4831
Liguria,IT1331810,Monte Ramaceto,sì,2924,0,9.3125,44.4408
Liguria,IT1331811,Monte Caucaso,sì,293,0,9.2306,44.4586
Liguria,IT1331909,Monte Zatta - Passo Bocco - Passo Chiapparino - Monte Bossea,sì,3034,0,9.4628,44.3872
Liguria,IT1332477,Fondali Arenzano - Punta Ivrea,sì,306,0,8.6806,44.3867
Liguria,IT1332575,Fondali Nervi - Sori,sì,609,0,9.0730,44.3700
Liguria,IT1332576,Fondali Boccadasse - Nervi,sì,526,0,8.9961,44.3800
Liguria,IT1332603,Parco di Portofino,sì,1196,0,9.1817,44.3228
Liguria,IT1332614,Pineta - Lecceta di Chiavari,sì,144,0,9.3033,44.3264
Liguria,IT1332622,Rio Tuia - Montallegro,sì,453,0,9.2653,44.3583
Liguria,IT1332673,Fondali Golfo di Rapallo,sì,99,0,9.2489,44.3381
Liguria,IT1332674,Fondali Monte Portofino,sì,544,0,9.1497,44.3172
Liguria,IT1332717,Foce e medio corso del Fiume Entella,sì,78,0,9.3575,44.3503
Liguria,IT1333307,Punta Baffe - Punta Moneglia - Val Petronio,sì,1308,0,9.4667,44.2536
Liguria,IT1333308,Punta Manara,sì,205,0,9.4075,44.2608
Liguria,IT1333316,Rocche di Sant'Anna - Valle del Fico,sì,127,0,9.3919,44.2872
Liguria,IT1333369,Fondali Punta di Moneglia,sì,36,0,9.4744,44.2331
Liguria,IT1333370,Fondali Punta Baffe,sì,24,0,9.4386,44.2400
Liguria,IT1333371,Fondali Punta Manara,sì,148,0,9.4006,44.2500
Liguria,IT1333372,Fondali Punta Sestri,sì,29,0,9.3892,44.2650
Liguria,IT1342806,Monte Verruga - Monte Zenone - Roccagrande - Monte Pu,sì,3757,0,9.4950,44.3322
Liguria,IT1342813,Rio Borsa - Torrente Vara,sì,174,0,9.5978,44.3536
Liguria,IT1342824,Rio di Colla,sì,24,0,9.6189,44.3078
Liguria,IT1342907,Monte Antessio - Chiusola,sì,363,0,9.7161,44.3381
Liguria,IT1342908,Monte Gottero - Passo del Lupo,sì,1186,0,9.6642,44.3658
Liguria,IT1343412,Deiva - Bracco - Pietra di Vasca - Mola,sì,2031,0,9.5444,44.2539
Liguria,IT1343415,Guaitarola,sì,581,0,9.5806,44.2211
Liguria,IT1343419,Monte Serro,sì,262,0,9.5328,44.2153
Liguria,IT1343425,Rio di Agnola,sì,129,0,9.6269,44.2747
Liguria,IT1343474,Fondali Punta Apicchi,sì,52,0,9.5372,44.2036
Liguria,IT1343502,Parco della Magra - Vara,sì,2710,0,9.8644,44.1722
Liguria,IT1343511,Monte Cornoviglio - Monte Fiorito - Monte Dragnone,sì,718,0,9.8222,44.2769
Liguria,IT1343518,Gruzza di Veppo,sì,230,0,9.8003,44.2736
Liguria,IT1343520,Zona Carsica Cassana,sì,119,0,9.6947,44.2069
Liguria,IT1343526,Torrente Mangia,sì,11,0,9.7072,44.2650
Liguria,IT1344210,Punta Mesco,sì,742,0,9.6272,44.1542
Liguria,IT1344216,Costa di Bonassola - Framura,sì,128,0,9.5747,44.1900
Liguria,IT1344270,Fondali Punta Mesco - Rio Maggiore,sì,546,0,9.6958,44.1258
Liguria,IT1344271,Fondali Punta Picetto,sì,16,0,9.6047,44.1597
Liguria,IT1344272,Fondali Punta Levanto,sì,57,0,9.5903,44.1714
Liguria,IT1344273,Fondali Anzo,sì,43,0,9.5669,44.1889
Liguria,IT1344321,Zona Carsica Pignone,sì,32,0,9.7244,44.1739
Liguria,IT1344323,Costa Riomaggiore - Monterosso,sì,169,0,9.6936,44.1289
Liguria,IT1344422,Brina e Nuda di Ponzano,sì,239,0,9.9361,44.1475
Liguria,IT1345005,Portovenere - Riomaggiore - S. Benedetto,sì,2665,0,9.7719,44.1028
Liguria,IT1345101,Piana del Magra,sì,577,0,9.9917,44.0611
Liguria,IT1345103,Isole Tino - Tinetto,sì,15,0,9.8514,44.0264
Liguria,IT1345104,Isola Palmaria,sì,164,0,9.8444,44.0419
Liguria,IT1345109,Montemarcello,sì,1401,0,9.9456,44.0739
Liguria,IT1345114,Costa di Maralunga,sì,43,0,9.9222,44.0625
Liguria,IT1345175,Fondali Isole Palmaria - Tino - Tinetto,sì,14,0,9.8553,44.0264
Lombardia,IT2010001,Lago di Ganna,sì,106,0,8.8258,45.8969
Lombardia,IT2010002,Monte Legnone e Chiusarella,sì,751,0,8.8131,45.8636
Lombardia,IT2010003,Versante Nord del Campo dei Fiori,sì,1312,0,8.7617,45.8797
Lombardia,IT2010004,Grotte del Campo dei Fiori,sì,894,0,8.7756,45.8589
Lombardia,IT2010005,Monte Martica,sì,1057,0,8.8131,45.8906
Lombardia,IT2010006,Lago di Biandronno,sì,134,0,8.7039,45.8272
Lombardia,IT2010007,Palude Brabbia,sì,460,0,8.7228,45.7903
Lombardia,IT2010008,Lago di Comabbio,sì,467,0,8.6914,45.7617
Lombardia,IT2010009,Sorgenti del Rio Capricciosa,sì,76,0,8.6208,45.7442
Lombardia,IT2010010,Brughiera del Vigano,sì,510,0,8.6800,45.6870
Lombardia,IT2010011,Paludi di Arsago,sì,543,0,8.7289,45.7006
Lombardia,IT2010012,Brughiera del Dosso,sì,455,0,8.6972,45.6528
Lombardia,IT2010013,Ansa di Castelnovate,sì,302,0,8.6664,45.6381
Lombardia,IT2010014,"Turbigaccio, Boschi di Castelletto e Lanca di Bernate",sì,2481,0,8.7560,45.5060
Lombardia,IT2010015,Palude Bruschera,sì,164,0,8.5861,45.7617
Lombardia,IT2010016,Val Veddasca,sì,4919,0,8.8178,46.0633
Lombardia,IT2010017,Palude Bozza - Monvallina,sì,21,0,8.6230,45.8390
Lombardia,IT2010018,Monte Sangiano,sì,195,0,8.6450,45.8780
Lombardia,IT2010019,Monti della Valcuvia,sì,1629,0,8.7083,45.9200
Lombardia,IT2010020,Torbiera di Cavagnano,sì,6.02,0,8.8760,45.9080
Lombardia,IT2010021,Sabbie d'Oro,sì,22,0,8.6260,45.8340
Lombardia,IT2010022,Alnete del Lago di Varese,sì,296,0,8.7958,45.7950
Lombardia,IT2020001,Lago di Piano,sì,207,0,9.1625,46.0369
Lombardia,IT2020002,Sasso Malascarpa,sì,328,0,9.3283,45.8506
Lombardia,IT2020003,Palude di Albate,sì,74,0,9.0900,45.7656
Lombardia,IT2020004,Lago di Montorfano,sì,84,0,9.1389,45.7836
Lombardia,IT2020005,Lago di Alserio,sì,488,0,9.2175,45.7914
Lombardia,IT2020006,Lago di Pusiano,sì,659,0,9.2703,45.8003
Lombardia,IT2020007,Pineta pedemontana di Appiano Gentile,sì,220,0,8.9367,45.7442
Lombardia,IT2020008,Fontana del Guercio,sì,35,0,9.1970,45.7240
Lombardia,IT2020009,Valle del Dosso,sì,1652,0,9.2333,46.1936
Lombardia,IT2020010,Lago di Segrino,sì,282,0,9.2733,45.8336
Lombardia,IT2020011,Spina verde,sì,855,0,9.0575,45.8069
