"SITECODE","ORG_NAME","ORG_EMAIL","MANAG_CONSERV_MEASURES","MANAG_PLAN","MANAG_PLAN_URL","MANAG_STATUS","ORG_LOCATORNAME","ORG_DESIGNATOR","ORG_ADMINUNIT","ORG_POSTCODE","ORG_POSTNAME","ORG_ADRESS","ORG_ADDRESS_UNSTRUCTURED"
"IT9310053","Provincia di Cosenza","info@provincia.cs.it","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza.","www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Piazza XV Marzo n. 5  87100 CosenzaTel: +39098426800"
"IT9310066","Provincia di Cosenza","info@provincia.cs.it","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza.  ","www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Piazza XV Marzo n. 5  87100 CosenzaTel: +39098426800"
"IT9310068","Provincia di Cosenza","info@provincia.cs.it","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza.","www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Piazza XV Marzo n. 5  87100 CosenzaTel: +39098426800"
"IT9310070","Ente Parco Nazionale della Sila","parcosila@pec.it","MISURE DI CONSERVAZIONE PER I SITI NATURA 2000 INCLUSI NEL PARCO NAZIONALE DELLA SILA - Parco Nazionale della Sila. Luglio 2010.","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. +39 0984 537109"
"IT9310073","Ente Parco Nazionale della Sila","parcosila@pec.it","MISURE DI CONSERVAZIONE PER I SITI NATURA 2000 INCLUSI NEL PARCO NAZIONALE DELLA SILA - Parco Nazionale della Sila - Luglio 2010.","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. 0984 537109"
"IT9310075","Ente Parco Nazionale della Sila","parcosila@pec.it","MISURE DI CONSERVAZIONE PER I SITI NATURA 2000 INCLUSI NEL PARCO NAZIONALE DELLA SILA - Luglio 2010","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. 0984 537109"
"IT9310130","Ente Parco Nazionale della Sila","parcosila@pec.it","MISURE DI CONSERVAZIONE PER I SITI NATURA 2000 INCLUSI NEL PARCO NAZIONALE DELLA SILA. Luglio 2010.","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. 0984 537109"
"IT9310301","","","","","","P","","","","","","",""
"IT9320046","Provincia di Crotone","protocollogenerale@pec.provincia.crotone.it","da proporre","Redazione del Piano di Gestione dei Siti Natura 2000, nella Provincia di Crotone, di cui al D.M. 03.04.2000, individuati ai sensi delle Direttive 92/43/CEE e 79/409/CEE. Provincia di Crotone.","www.regione.calabria.it/ambiente/allegati/piani_di_gestione/crotone/relazioni/pdg_crotone.pdf","Y","","","","","","","Via M. Nicoletta, 28 88900 CrotoneTel. +39 0962952111"
"IT9320050","Provincia di Crotone","protocollogenerale@pec.provincia.crotone.it","da proporre","Redazione del Piano di Gestione dei Siti Natura 2000, nella Provincia di Crotone, di cui al D.M. 03.04.2000, individuati ai sensi delle Direttive 92/43/CEE e 79/409/CEE. Provincia di Crotone.","www.regione.calabria.it/ambiente/allegati/piani_di_gestione/crotone/relazioni/pdg_crotone.pdf","Y","","","","","","","Via M. Nicoletta, 28 88900 CrotoneTel. +39 0962952111"
"IT9320097","Provincia di Crotone","protocollogenerale@pec.provincia.crotone.it","Divieto di pesca, di navigazione e di immersione(salvo richiesta di permessi) nelle zone B della riserva marina; nelle 2 zone A tra Capo colonne e Capo Rizzuto, divideto assuluto di qualsiasi attività, tranne ricerca scientifica (con permessi): In costitu","Redazione del Piano di Gestione dei Siti Natura 2000, nella Provincia di Crotone, di cui al D.M. 03.04.2000, individuati ai sensi delle Direttive 92/43/CEE e 79/409/CEE. Provincia di Crotone.","www.regione.calabria.it/ambiente/allegati/piani_di_gestione/crotone/relazioni/pdg_crotone.pdf","Y","","","","","","","Via M. Nicoletta, 28 88900 CrotoneTel. +39 0962952111"
"IT9330184","Provincia di Catanzaro","","Da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Catanzaro. Provincia di Catanzaro.","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=194&Itemid=80","Y","","","","","","","Via G. Raffaelli  88100 Catanzaro 0961 709393"
"IT9350135","In parte gestito da: Ente Parco Nazionale dell’Aspromonte","info.posta@parcoaspromonte.gov.it","In preparazione per la parte inclusa nel parco","Per la parte ricadente all’esterno del Parco Nazionale dell’Aspromonte è stato redatto il Piano di Gestione dalla Provincia di Reggio Calabria (2007).","www.regione.calabria.it/ambiente/allegati/piani_di_gestione/reggiocalabria/relezione_generale.pdf","Y","","","","","","","Via Aurora,1 89050 Gambarie di S. Stefano in Aspromonte (RC)tel. +39 0965 743060"
"IT9350137","Provincia di Reggio Calabria ","protocollo@pec.provincia.rc.it","da proporre","Servizio di supporto nella predisposizione del Piano di gestione dei siti Natura 2000 sul territorio della Provincia di Reggio Calabria. Documento definitivo di Piano e allegati. Provincia di Reggio Calabria, 2007.  ","","Y","","","","","","","Piazza Italia - 89124 Reggio Calabria"
"IT9350140","Provincia di Reggio Calabria","protocollo@pec.provincia.rc.it","da proporre","Servizio di supporto nella predisposizione del Piano di gestione dei siti Natura 2000 sul territorio della Provincia di Reggio Calabria. Documento definitivo di Piano e allegati. Provincia di Reggio Calabria, 2007.","http://","Y","","","","","","","Piazza Italia - 89124 Reggio Calabria"
"IT9350155","Ente Parco Nazionale dell'Aspromonte ","info.posta@parcoaspromonte.gov.it","in preparazione","","","N","","","","","","","Via Aurora,1 89050 Gambarie di S. Stefano in Aspromonte (RC)tel. +39 0965 743060"
"IT9350157","Ente Parco Nazionale dell'Aspromonte P.zza C. Mangeruca tel 0965/743060 -89050 Gambarie di S. Stefano in Aspromonte (RC)","","in preparazione","","","N","","","","","","",""
"IT9350174","Per la parte inclusa nel Parco: Ente Parco Nazionale dell’Aspromonte","info.posta@parcoaspromonte.gov.it","in preparazione per il settore interno al parco","Servizio di supporto nella predisposizione del Piano di gestione dei siti Natura 2000 sul territorio della Provincia di Reggio Calabria. Documento definitivo di Piano e allegati. Provincia di Reggio Calabria, 2007.","","Y","","","","","","","Via Aurora,1 89050 Gambarie di S. Stefano in Aspromonte (RC)tel. +39 0965 743060"
"IT9350174","Provincia di Reggio Calabria","protocollo@pec.provincia.rc.it","in preparazione per il settore interno al parco","Servizio di supporto nella predisposizione del Piano di gestione dei siti Natura 2000 sul territorio della Provincia di Reggio Calabria. Documento definitivo di Piano e allegati. Provincia di Reggio Calabria, 2007.","","Y","","","","","","","Piazza Italia - 89124 Reggio Calabria"
"IT9350178","Ente Parco Nazionale dell’Aspromonte","info.posta@parcoaspromonte.gov.it","in preparazione per il settore ricadente allinterno del parco","Per la parte ricadente all’esterno del Parco Nazionale dell’Aspromonte è stato redatto il Piano di Gestione dalla Provincia di Reggio Calabria (2007).","","Y","","","","","","","Via Aurora,1 89050 Gambarie di S. Stefano in Aspromonte (RC)tel. +39 0965 743060"
"IT9350178","Provincia di Reggio Calabria","protocollo@pec.provincia.rc.it","in preparazione per il settore ricadente allinterno del parco","Per la parte ricadente all’esterno del Parco Nazionale dell’Aspromonte è stato redatto il Piano di Gestione dalla Provincia di Reggio Calabria (2007).","","Y","","","","","","","Piazza Italia - 89124 Reggio Calabria"
"ITA010016","","","","Piano di gestione Monti di Trapani decreto n. 347 del 24/06/2010","","Y","","","","","","",""
"ITA010022","","","","Piano di gestione Complessi gessosi (S. Ninfa) decreto n. 860 del 15/11/2010","","Y","","","","","","",""
"ITA010027","","","","Piano di gestione Isole Egadi decreto n. 434 del 08/08/2012","","Y","","","","","","",""
"ITA020004","","","","Piano di gestione Monti Madonie decreto n.183 del 22/03/2012","","Y","","","","","","",""
"ITA020011","","","","Piano di gestione Monti Sicani decreto n. 346 del 24/06/2010","","Y","","","","","","",""
"ITA020016","","","","Piano di gestione Monti Madonie decreto n.183 del 22/03/2012","","Y","","","","","","",""
"ITA020018","","","","Piano di gestione Monti Madonie decreto n.183 del 22/03/2012","","Y","","","","","","",""
"ITA020020","","","","Piano di gestione Monti Madonie decreto n.183 del 22/03/2012","","Y","","","","","","",""
"ITA020025","","","","Piano di gestione Monti Sicani decreto n. 346 del 24/06/2010","","Y","","","","","","",""
"ITA020032","","","","Piano di gestione Zona montano-costiera del palermitano decreto n. 897 del 24/11/2010","","Y","","","","","","",""
"ITA020039","","","","Piano di gestione Zona montano-costiera del palermitano decreto n. 897 del 24/11/2010","","Y","","","","","","",""
"ITA020041","","","","Piano di gestione Residui boschivi e zone umide dell'ennese-palermitano decreto n. 562 del 16/08/2010","","Y","","","","","","",""
"ITA020043","","","","Piano di gestione Zona montano-costiera del palermitano decreto n. 897 del 24/11/2010","","Y","","","","","","",""
"ITA020048","","","","Piano di gestione Monti Sicani decreto n. 346 del 24/06/2010","","Y","","","","","","",""
"ITA020050","","","","Piano di gestione Monti Madonie decreto n.183 del 22/03/2012","","Y","","","","","","",""
"ITA030002","","","","Piano di gestione Monti Nebrodi decreto n. 883 del 25/11/2011","","Y","","","","","","",""
"ITA030006","","","","Piano di gestione Monti Peloritani decreto n. 286 del 27/05/2010","","Y","","","","","","",""
"ITA030010","","","","Piano di gestione Monti Peloritani decreto n. 286 del 27/05/2010","","Y","","","","","","",""
"ITA030016","","","Ente Parco dei Nebrodi","Piano di gestione Monti Nebrodi decreto n. 883 del 25/11/2011","","Y","","","","","","",""
"ITA030028","","","","Piano di gestione Isole Eolie decreto n. 120 del 08/03/2013","","Y","","","","","","",""
"ITA030044","Azienda FF.DD Provincia di Messina","","","Piano di gestione Isole Eolie decreto n. 120 del 08/03/2013","","Y","","","","","","",""
"ITA040001","","","","Piano di gestione Isole Pelagie decreto n.861 del 15/11/2010","","Y","","","","","","",""
"ITA050004","","","","Piano di gestione Valle del Fiume Imera meridionale decreto n.536 del 10/10/2012","","Y","","","","","","",""
"ITA050010","","","","Piano di gestione Pizzo Muculufa e Rupe di Falconara decreto n. 453 del 27/06/2011","","Y","","","","","","",""
"ITA050012","","","","Piano di gestione Biviere e Macconi di Gela","","Y","","","","","","",""
"ITA070005","","","","Piano di gestione Bosco di Santo Pietro e sughereta di Niscemi decreto n. 564 del 16/08/2010","","Y","","","","","","",""
"ITA070009","","","","Piano di gestione approvato con prescrizione Monte Etna decreto n. 670 del 30/06/2009","","Y","","","","","","",""
"ITA070010","","","","Piano di gestione approvato con prescrizione Monte Etna decreto n. 670 del 30/06/2009","","Y","","","","","","",""
"ITA070019","Parco regionale dell'Etna","","","Piano di gestione approvato con prescrizione Monte Etna decreto n. 670 del 30/06/2009","","Y","","","","","","",""
"ITA070025","","","","Piano di gestione Fiume Simeto decreto n. 418 del 17/06/2011","","Y","","","","","","",""
"ITA090006","Provincia di Siracusa","","","Piano di gestione approvato con prescrizione Saline della Sicilia orientale decreto n. 678 del 30/06/2009","","Y","","","","","","",""
"ITA090013","Ente Gestore LIPU","","","Piano di gestione approvato con prescrizione Saline della Sicilia orientale decreto n. 678 del 30/06/2009","","Y","","","","","","",""
"ITA090018","","","","Piano di gestione approvato con prescrizione Monti Iblei decreto n. 666 del 30/06/2009","","Y","","","","","","",""
"ITA090022","","","","Piano di gestione approvato con prescrizione Monti Iblei decreto n. 666 del 30/06/2009","","Y","","","","","","",""
"ITB010007","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB010007 ""Capo Testa"" approvato con Decreto Regionale n. 57 del 30/07/2008. Decreto pubblicato su BURAS n. 30 del 25/09/2008.","Piano di Gestione del SIC ITB010007 ""Capo Testa"" approvato con Decreto Regionale n. 57 del 30/07/2008. Decreto pubblicato su BURAS n. 30 del 25/09/2008.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=f1566057-71c1-4f28-a170-4abe3c32e673","Y","","","","","","",""
"ITB010009","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB010009 ""Capo Figari e Isola Figarolo"" approvato con Decreto Regionale n. 27 del 03/11/2011.","Piano di Gestione del SIC ITB010009 ""Capo Figari e Isola Figarolo"" approvato con Decreto Regionale n. 27 del 03/11/2011.","","Y","","","","","","",""
"ITB010082","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB010001 ""Isola dell'Asinara"", approvato con Decreto Regionale n. 63 del 30/07/2008; Piano di Gestione del SIC ITB010082 ""Isola Piana"", approvato con Decreto Regionale n. 21 del 28/02/2008; variante al Piano di Gestione approvata con Decreto Regionale n. 10 del 10/05/2012 e pubblicato sul BURAS n. 30 del 5/07/2012. Decreti pubblicati su BURAS n. 30 del 25/09/2008; BURAS n. 30 del 05/07/2012.","Piano di Gestione del SIC ITB010001 ""Isola dell'Asinara"", approvato con Decreto Regionale n. 63 del 30/07/2008; Piano di Gestione del SIC ITB010082 ""Isola Piana"", approvato con Decreto Regionale n. 21 del 28/02/2008; variante al Piano di Gestione approvata con Decreto Regionale n. 10 del 10/05/2012 e pubblicato sul BURAS n. 30 del 5/07/2012. Decreti pubblicati su BURAS n. 30 del 25/09/2008; BURAS n. 30 del 05/07/2012.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=f1566057-71c1-4f28-a170-4abe3c32e673; http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=4b305e12-c7a8-4050-bfe3-f54b258e0b18","Y","","","","","","",""
"ITB021101","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB021101 ""Altopiano di Campeda"" approvato con Decreto Regionale n. 39 del 09/11/2009.","Piano di Gestione del SIC ITB021101 ""Altopiano di Campeda"" approvato con Decreto Regionale n. 39 del 09/11/2009.","","Y","","","","","","",""
"ITB034001","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","","","","N","","","","","","",""
"ITB034006","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","","","","N","","","","","","",""
"ITB040021","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB040021 ""ITB040021 Costa di Cagliari"" approvato con Decreto Regionale n. 29  del 28/02/2008. Decreto pubblicato su BURAS n. 21 del 28/06/2008.","Piano di Gestione del SIC ITB040021 ""ITB040021 Costa di Cagliari"" approvato con Decreto Regionale n. 29  del 28/02/2008. Decreto pubblicato su BURAS n. 21 del 28/06/2008.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=4ee5f3e3-8c20-45e9-9c8e-19b6571c32d8","Y","","","","","","",""
"ITB040071","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB040071 ""Da Piscinas a Riu Scivu"" approvato con Decreto Regionale n. 56  del 30/07/2008. Decreto pubblicato su BURAS n. 30 del 25/09/2008.","Piano di Gestione del SIC ITB040071 ""Da Piscinas a Riu Scivu"" approvato con Decreto Regionale n. 56  del 30/07/2008. Decreto pubblicato su BURAS n. 30 del 25/09/2008.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=f1566057-71c1-4f28-a170-4abe3c32e673","Y","","","","","","",""
"ITB041112","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB041112 ""Giara di Gesturi"" approvato con Decreto Regionale n. 92 del 26/11/2008. Decreto pubblicato su supplemento straordinario al BURAS n. 1 del 10/01/2009.","Piano di Gestione del SIC ITB041112 ""Giara di Gesturi"" approvato con Decreto Regionale n. 92 del 26/11/2008. Decreto pubblicato su supplemento straordinario al BURAS n. 1 del 10/01/2009.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=f117f059-91f6-4511-9d73-7aec4142748b","Y","","","","","","",""
"ITB042234","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB042234 ""Monti Mannu-Monti Ladu"" approvato con Decreto Regionale n. 24 del 28/02/2008. Decreto pubblicato su BURAS n. 21 del 28/06/2008.","Piano di Gestione del SIC ITB042234 ""Monti Mannu-Monti Ladu"" approvato con Decreto Regionale n. 24 del 28/02/2008. Decreto pubblicato su BURAS n. 21 del 28/06/2008.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=4ee5f3e3-8c20-45e9-9c8e-19b6571c32d8","Y","","","","","","",""
"ITB042247","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","Piano di Gestione del SIC ITB042247 ""Is Compinxius - Campo Dunale di Bugerru - Portixeddu"" approvato con Decreto Regionale n. 59 del 30/07/2008. Decreto pubblicato su BURAS n. 30 del 25/09/2008.","Piano di Gestione del SIC ITB042247 ""Is Compinxius - Campo Dunale di Bugerru - Portixeddu"" approvato con Decreto Regionale n. 59 del 30/07/2008. Decreto pubblicato su BURAS n. 30 del 25/09/2008.","http://buras.regione.sardegna.it/custom/frontend/viewPart.xhtml?partId=f1566057-71c1-4f28-a170-4abe3c32e673","Y","","","","","","",""
"ITB044002","Regione Autonoma della Sardegna","difesa.ambiente@regione.sardegna.it","","","","N","","","","","","",""
"IT4070027","ENTE GESTORE: Comune di Cotignola","-","sono vigenti le Misure Specifiche di Conservazione e sono consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/msc-pg","","","N","","","","","","","recapiti ed email consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/enti"
"IT4080011","ENTE GESTORE: Regione Emilia-Romagna","-","sono vigenti le Misure Specifiche di Conservazione e sono consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/msc-pg","","","N","","","","","","","recapiti ed email consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/enti"
"IT4090001","ENTE GESTORE: Ente di Gestione per i Parchi e la Biodiversità Romagna","-","sono vigenti le Misure Specifiche di Conservazione e sono consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/msc-pg","","","N","","","","","","","recapiti ed email consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/enti"
"IT4090002","ENTI GESTORI: Ente di Gestione per i Parchi e la Biodiversità Romagna - Regione Emilia-Romagna","-","Piani di Gestione e Misure Specifiche di Conservazione sono consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/msc-pg","","","Y","","","","","","","recapiti ed email consultabili sul web: http://ambiente.regione.emilia-romagna.it/parchi-natura2000/rete-natura-2000/enti"
"IT5110001","","","","","","N","","","","","","",""
"IT5120002","","","","","","Y","","","","","","",""
"IT5120017","Ente Parco Migliarino - San Rossore -  assaciuccoli; via Battisti 10, 56100 Pisa (PI): Tel. 0584/975567.","","Piano del Parco approvato.","Piano del Parco approvato.","","N","","","","","","",""
"IT5120019","","","Sono stato approvati i Regolamenti di Gestione delle ANPIL incluse nel Sito","Sono stato approvati i Regolamenti di Gestione delle ANPIL incluse nel Sito","","N","","","","","","",""
"IT5120102","","","","","","N","","","","","","",""
"IT5140003","","","","","","P","","","","","","",""
"IT5160004","W.W.F. Italia. Via Garigliano 57, 00198 Roma. Tel. 06/844971. Enti locali. Sede amministrativa: c/o Comune - 57022 Castagneto Carducci (LI).","","","","","N","","","","","","",""
"IT5160008","","","","","","N","","","","","","",""
"IT5160020","","","","","","N","","","","","","",""
"IT5180004","1) Ente Parco Foreste Casentinesi, via Roma 10, 52015 Pratovecchio (AR) Tel. 0575/504558/504497  - 2) C.F.S. Amm.ne Foreste Demaniali Casentinesi, ex A.S.F.D. via Dante Alighieri 39, 52015 Pratovecchio (AR), Tel. 0575/582504/58763","","Piano di assestamento forestale.","Piano di assestamento forestale.","","N","","","","","","",""
"IT5180011","C.F.S. Ufficio Amm.ne Gestione ex A.S.F.D., 50060 Vallombrosa (FI), tel. 055/862020/862131.","","","Piano di assestamento forestale.","","Y","","","","","","",""
